keys,pl,en
UI_START_EXPERIMENT,"ROZPOCZNIJ POMIAR (21:45)","START EXPERIMENT (21:45)"
UI_MOVEMENT_PROFILE,"PROFIL RUCHU:","MOVEMENT PROFILE:"
UI_PROFILE_A,"PROFIL A: BAZOWY (IKP STANDARD)","PROFILE A: BASELINE (IKP STANDARD)"
UI_PROFILE_B,"PROFIL B: SPRĘŻYSTY (SZYBKI)","PROFILE B: SNAPPY (FAST)"
UI_PROFILE_C,"PROFIL C: INERCYJNY (MASA)","PROFILE C: INERTIAL (HEAVY)"
UI_CHAMBER_1,"KOMORA 01: LABORATORIUM RUCHU","CHAMBER 01: MOVEMENT LAB"
UI_CHAMBER_2,"KOMORA 02: WINDY PIONOWE","CHAMBER 02: VERTICAL LIFTS"
UI_CHAMBER_3,"KOMORA 03: SZYB PODSTRUKTURY","CHAMBER 03: SUBSTRUCTURE SHAFT"
UI_RESTART_HINT,"[R] RESTART KOMORY","[R] RESTART CHAMBER"
UI_ANCHOR_HINT,"[C / SHIFT] ZAKOTWICZENIE MATERII","[C / SHIFT] ANCHOR MATTER"
UI_INTERACT_HINT,"[E / SPACJA] INTERAKCJA / REZONANS","[E / SPACE] INTERACT / RESONANCE"
ACT_0_TITLE,"PROLOG: POMIAR","PROLOGUE: MEASUREMENT"
ACT_1_TITLE,"AKT I: PĘKNIĘCIE","ACT I: FRACTURE"
ACT_2_TITLE,"AKT II: KOREKTA","ACT II: CORRECTION"
ACT_3_TITLE,"AKT III: PODSTRUKTURA","ACT III: SUBSTRUCTURE"
ACT_4_TITLE,"AKT IV: SYGNAŁ POWROTU","ACT IV: RETURN SIGNAL"
STATION_01_NAME,"Sterownia IKP","IKP Control Room"
STATION_02_NAME,"Komora Pomiarowa","Measurement Chamber"
STATION_03_NAME,"Puste Laboratorium","Empty Laboratory"
STATION_04_NAME,"Bramka IKP","IKP Reception Gate"
STATION_05_NAME,"Rówień nocą","Rówień by Night"
STATION_06_NAME,"Linia Zastępcza","Replacement Line"
STATION_07_NAME,"Klatka schodowa","Stairwell"
STATION_08_NAME,"Mieszkanie po kimś","Flat Left Behind"
STATION_09_NAME,"Pokój, który nie czeka","Unwaiting Room"
STATION_10_NAME,"Telefon Jakuba","Jakub's Telephone"
STATION_11_NAME,"Pierwsza korekta","First Correction"
STATION_12_NAME,"Instruktaż bezpieczeństwa","Safety Demonstration"
STATION_13_NAME,"Adres ciągłości","Continuity Address"
STATION_14_NAME,"Zakotwiczenie","Anchoring"
STATION_15_NAME,"Korytarz serwisowy","Service Corridor"
STATION_16_NAME,"Rozmowa przy stole","Table Conversation"
STATION_17_NAME,"Punkt Zgodności 6","Consistency Point 6"
STATION_18_NAME,"Wywiad zgodności","Consistency Interview"
STATION_19_NAME,"Model bez oryginału","Model Without Original"
STATION_20_NAME,"Sala Szymona","Szymon's Room"
STATION_21_NAME,"Cena ulgi","Cost of Relief"
STATION_22_NAME,"Uległość","Yielding"
STATION_23_NAME,"Pokój projektantki","Designer's Room"
STATION_24_NAME,"Marta pod obserwacją","Marta Under Surveillance"
STATION_25_NAME,"Wejście Jakuba","Jakub's Entry"
STATION_42A_NAME,"Powrót — Własny pokój","Return — Own Room"
STATION_42B_NAME,"Uzgodnienie — Miejsce po niej","Reconciliation — Her Place"
STATION_42C_NAME,"Świadectwo — Dwie prawdy","Testimony — Two Truths"
STATION_43_NAME,"Napisy i epilog systemowy","Credits and System Epilogue"
ENDING_A_DESC,"Powrót do pierwotnego wektora czasu. Telefon od Marty dzwoni o 22:30.","Return to primary timeline vector. Phone call from Marta arrives at 22:30."
ENDING_B_DESC,"Zajęcie miejsca odpowiedniczki w Mieszkaniu 14. Szew w futrynie pozostaje widoczny.","Taking the counterpart's place in Flat 14. The doorframe seam remains visible."
ENDING_C_DESC,"Rozproszenie sieci świadków na całe miasto. Tramwaj staje przed dwoma torami naraz.","Witness network distributed across the entire city. The tram halts before dual tracks."
PROP_OSCILLOSCOPE,"Oscyloskop próżniowy z nośną 740 Hz","Vacuum oscilloscope with 740 Hz carrier"
PROP_BAKELITE_PHONE,"Bakelitowy aparat telefoniczny IKP","IKP bakelite telephone set"
PROP_GOLD_RING,"Złota obrączka o średnicy 18 mm","Gold ring (18 mm diameter)"
PROP_STAMP_UCP,"Stempel atestacyjny korekty UCP","UCP correction validation stamp"
PROP_COFFEE_CUPS,"Dwa parujące kubki laboratoryjne","Two steaming lab cups"
PROP_TRAM_SWITCH,"Zwrotnica torowiska Linii 4","Line 4 track switch"
