path	phase	last_line
res://reports/pkg_0196/visual_final/s01_100_000_line.png	line	Lena: Jeszcze jeden odczyt drgań przy Linii 4. Potem jadę do Marty.
res://reports/pkg_0196/visual_final/s01_100_001_line.png	line	LENA: Przejazd był. Drgania są. Trzech sekund zapisu nie ma.
res://reports/pkg_0196/visual_final/s01_100_002_line.png	line	LENA: Mocowanie jest czyste. Zapis dalej gubi trzy sekundy.
res://reports/pkg_0196/visual_final/s01_100_003_line.png	line	LENA: Biorę surową próbkę. Raport może poczekać.
res://reports/pkg_0196/visual_final/s01_100_004_line.png	line	MARTA: Miałyśmy zacząć o wpół do dziewiątej. Napisz tylko, czy jedziesz.
res://reports/pkg_0196/visual_final/s01_100_005_line.png	line	LENA: Jadę. Powtórzyłam pomiar i zabrałam próbkę. Będę później.
res://reports/pkg_0196/visual_final/s02_100_006_line.png	line	Lena: Skrót zamknęli do robót. Nasyp serwisowy prowadzi na przystanek.
res://reports/pkg_0196/visual_final/s02_100_007_line.png	line	LENA: Przewód jest naprawdę wymieniany. Nasyp doda mi dwanaście minut.
res://reports/pkg_0196/visual_final/s02_100_008_line.png	line	LENA: Marta poczeka dłużej, niż obiecałam. Idę nasypem.
res://reports/pkg_0196/visual_final/s03_100_009_line.png	line	Lena: Przystanek Linii 4. Marta czeka; kurs ma przyjechać za trzy minuty.
res://reports/pkg_0196/visual_final/s03_100_010_line.png	line	LENA: Linia 4 za trzy minuty. Zdążę tylko, jeśli przestanę pracować.
res://reports/pkg_0196/visual_final/s03_100_011_line.png	line	MARTA: Herbata stygnie. Napisz, kiedy wsiądziesz.
res://reports/pkg_0196/visual_final/s03_100_012_line.png	line	LENA: Jadę. Przez objazd będę później.
res://reports/pkg_0196/visual_final/s04_100_013_line.png	line	Lena: Wagon jedzie. Marta nadal czeka, a czytnik nie chce puścić Linii 4.
res://reports/pkg_0196/visual_final/s04_100_014_line.png	line	LENA: Ten sam brak. Wagon jedzie, a bufor znów traci trzy sekundy.
res://reports/pkg_0196/visual_final/s04_100_015_line.png	line	LENA: Pomnik Linii 4. Nie patrzę na niego od dziewięciu lat.
res://reports/pkg_0196/visual_final/s04_100_016_line.png	line	LENA: Odwracam czytnik ekranem do dołu. Próbka jedzie w torbie.
res://reports/pkg_0196/visual_final/s05_100_017_line.png	line	Lena: Moja ulica. Za rogiem Sadowa i dom.
res://reports/pkg_0196/visual_final/s05_100_018_line.png	line	LENA: Moja ulica. Za rogiem Sadowa i dom. Wszystko wygląda tak samo jak rano.
res://reports/pkg_0196/visual_final/s05_100_019_line.png	line	LENA: Surowa próbka drgań jest w torbie. Sprawdzę cały raport jutro z Martą.
res://reports/pkg_0196/visual_final/s05_100_020_line.png	line	LENA: Zielone światło na przejściu. Jeszcze tylko woda w kiosku i jestem w domu.
res://reports/pkg_0196/visual_final/s06_100_021_line.png	line	Lena: Kiosk i rozkład. Kupię wodę i sprawdzę godziny.
res://reports/pkg_0196/visual_final/s06_100_022_line.png	line	LENA: Rozkład z tego miesiąca. Linia 4 jedzie inaczej, niż pamiętam — a data druku się zgadza.
res://reports/pkg_0196/visual_final/s06_100_023_line.png	line	LENA: Proszę butelkę wody.
res://reports/pkg_0196/visual_final/s06_100_024_line.png	line	SPRZEDAWCA: Dobry wieczór, pani Leno. Niegazowana jak zawsze. Proszę, cztery złote.
res://reports/pkg_0196/visual_final/s06_100_025_line.png	line	SPRZEDAWCA: Marta rano kupiła wodę. Pytała, o której pani wraca.
res://reports/pkg_0196/visual_final/s06_100_026_line.png	line	LENA: Dziękuję. Długo dziś jeszcze otwarte?
res://reports/pkg_0196/visual_final/s06_100_027_line.png	line	SPRZEDAWCA: Zwijam kiosk po tej zmianie. Dobranoc, pani Leno.
res://reports/pkg_0196/visual_final/s07_100_028_line.png	line	Lena: Sadowa 7. Mój dokument podaje mieszkanie 12.
res://reports/pkg_0196/visual_final/s07_100_029_line.png	line	LENA: Zaświadczenie: Sadowa 7, mieszkanie 12. Budynek się zgadza. Sprawdzę domofon.
res://reports/pkg_0196/visual_final/s07_100_030_line.png	line	LENA: Lista lokatorów: 12 to Kowalczyk. Pod 14 widnieje: L. Wolska / M. Kurek.
res://reports/pkg_0196/visual_final/s07_100_031_line.png	line	LENA: Wpisuję mój stały kod. Zamek brzęczy i odryglowuje bramę wejściową.
res://reports/pkg_0196/visual_final/s08_100_032_line.png	line	Lena: Klatka schodowa. Ciepłe światło, zapach herbaty zza drzwi.
res://reports/pkg_0196/visual_final/s08_100_033_line.png	line	LENA: Drzwi numer 12. Mosiężna tabliczka 'Kowalczyk'. Mój klucz nawet nie pasuje do profilu tego zamka.
res://reports/pkg_0196/visual_final/s08_100_034_line.png	line	LENA: Dobry wieczór. Kto mieszka pod dwunastką?
res://reports/pkg_0196/visual_final/s08_100_035_line.png	line	SĄSIADKA: Pan Kowalczyk, od lat. A pani z Martą pod czternastką — ona wróciła godzinę temu.
res://reports/pkg_0196/visual_final/s08_100_036_line.png	line	LENA: Dziękuję pani.
res://reports/pkg_0196/visual_final/s08_100_037_line.png	line	LENA: Klucz działa. Wchodzę bez słowa.
res://reports/pkg_0196/visual_final/s05_100_038_line.png	line	Lena: Moja ulica. Za rogiem Sadowa i dom.
res://reports/pkg_0196/visual_final/s05_100_039_line.png	line	LENA: Moja ulica. Za rogiem Sadowa i dom. Wszystko wygląda tak samo jak rano.
res://reports/pkg_0196/visual_final/s01_100_040_line.png	line	Lena: Jeszcze jeden odczyt drgań przy Linii 4. Potem jadę do Marty.
res://reports/pkg_0196/visual_final/s01_100_041_line.png	line	Lena: Jeszcze jeden odczyt drgań przy Linii 4. Potem jadę do Marty.
res://reports/pkg_0196/visual_final/s01_100_042_line.png	line	LENA: Nie robię drugiej próby. Pakuję czytnik i wychodzę do Marty.
res://reports/pkg_0196/visual_final/s01_100_043_line.png	line	MARTA: Miałyśmy zacząć o wpół do dziewiątej. Herbata jeszcze jest gorąca.
res://reports/pkg_0196/visual_final/s01_100_044_line.png	line	LENA: Spakowałam sprzęt. Jadę zgodnie z obietnicą.
res://reports/pkg_0196/visual_final/s02_100_045_line.png	line	Lena: Skrót zamknęli do robót. Nasyp serwisowy prowadzi na przystanek.
res://reports/pkg_0196/visual_final/s02_100_046_line.png	line	LENA: Przewód jest naprawdę wymieniany. Nasyp doda mi dwanaście minut.
res://reports/pkg_0196/visual_final/s02_100_047_line.png	line	LENA: Marta poczeka dłużej, niż obiecałam. Idę nasypem.
res://reports/pkg_0196/visual_final/s03_100_048_line.png	line	Lena: Przystanek Linii 4. Marta czeka; kurs ma przyjechać za trzy minuty.
res://reports/pkg_0196/visual_final/s03_100_049_line.png	line	LENA: Linia 4 za trzy minuty. Zdążę tylko, jeśli przestanę pracować.
res://reports/pkg_0196/visual_final/s03_100_050_line.png	line	MARTA: Widzę zamknięcie na trasie. Jedź spokojnie, herbata czeka.
res://reports/pkg_0196/visual_final/s03_100_051_line.png	line	LENA: Jadę. Tym razem wyszłam z pracy wtedy, kiedy obiecałam.
res://reports/pkg_0196/visual_final/s04_100_052_line.png	line	Lena: Wagon jedzie. Marta nadal czeka, a czytnik nie chce puścić Linii 4.
res://reports/pkg_0196/visual_final/s04_100_053_line.png	line	LENA: Czytnik jest spakowany. Luka została bez drugiego pomiaru — tak wybrałam.
res://reports/pkg_0196/visual_final/s04_100_054_line.png	line	LENA: Pomnik Linii 4. Nie patrzę na niego od dziewięciu lat.
res://reports/pkg_0196/visual_final/s04_100_055_line.png	line	LENA: Odwracam czytnik ekranem do dołu. Tyle z pracy na dziś.
res://reports/pkg_0196/visual_final/s05_100_056_line.png	line	Lena: Moja ulica. Za rogiem Sadowa i dom.
res://reports/pkg_0196/visual_final/s05_100_057_line.png	line	LENA: Moja ulica. Za rogiem Sadowa i dom. Wszystko wygląda tak samo jak rano.
res://reports/pkg_0196/visual_final/s05_100_058_line.png	line	LENA: W torbie spakowany czytnik. Surowego zapisu nie wzięłam — tak wybrałam.
res://reports/pkg_0196/visual_final/s05_100_059_line.png	line	LENA: Zielone światło na przejściu. Jeszcze tylko woda w kiosku i jestem w domu.
res://reports/pkg_0196/visual_final/s06_100_060_line.png	line	Lena: Kiosk i rozkład. Kupię wodę i sprawdzę godziny.
res://reports/pkg_0196/visual_final/s06_100_061_line.png	line	LENA: Rozkład z tego miesiąca. Linia 4 jedzie inaczej, niż pamiętam — a data druku się zgadza.
res://reports/pkg_0196/visual_final/s06_100_062_line.png	line	LENA: Proszę butelkę wody.
res://reports/pkg_0196/visual_final/s06_100_063_line.png	line	SPRZEDAWCA: Dobry wieczór, pani Leno. Niegazowana jak zawsze. Proszę, cztery złote.
res://reports/pkg_0196/visual_final/s06_100_064_line.png	line	SPRZEDAWCA: Marta rano kupiła wodę. Pytała, o której pani wraca.
res://reports/pkg_0196/visual_final/s06_100_065_line.png	line	LENA: Dziękuję. Długo dziś jeszcze otwarte?
res://reports/pkg_0196/visual_final/s06_100_066_line.png	line	SPRZEDAWCA: Zwijam kiosk po tej zmianie. Dobranoc, pani Leno.
res://reports/pkg_0196/visual_final/s07_100_067_line.png	line	Lena: Sadowa 7. Mój dokument podaje mieszkanie 12.
res://reports/pkg_0196/visual_final/s07_100_068_line.png	line	LENA: Zaświadczenie: Sadowa 7, mieszkanie 12. Budynek się zgadza. Sprawdzę domofon.
res://reports/pkg_0196/visual_final/s07_100_069_line.png	line	LENA: Lista lokatorów: 12 to Kowalczyk. Pod 14 widnieje: L. Wolska / M. Kurek.
res://reports/pkg_0196/visual_final/s07_100_070_line.png	line	LENA: Wpisuję mój stały kod. Zamek brzęczy i odryglowuje bramę wejściową.
res://reports/pkg_0196/visual_final/s08_100_071_line.png	line	Lena: Klatka schodowa. Ciepłe światło, zapach herbaty zza drzwi.
res://reports/pkg_0196/visual_final/s08_100_072_line.png	line	LENA: Drzwi numer 12. Mosiężna tabliczka 'Kowalczyk'. Mój klucz nawet nie pasuje do profilu tego zamka.
res://reports/pkg_0196/visual_final/s08_100_073_line.png	line	LENA: Dobry wieczór. Kto mieszka pod dwunastką?
res://reports/pkg_0196/visual_final/s08_100_074_line.png	line	SĄSIADKA: Pan Kowalczyk, od lat. A pani z Martą pod czternastką — ona wróciła godzinę temu.
res://reports/pkg_0196/visual_final/s08_100_075_line.png	line	LENA: Dziękuję pani.
res://reports/pkg_0196/visual_final/s08_100_076_line.png	line	LENA: Klucz działa. Wchodzę bez słowa.
res://reports/pkg_0196/visual_final/s02_100_077_line.png	line	Lena: Skrót zamknęli do robót. Nasyp serwisowy prowadzi na przystanek.
res://reports/pkg_0196/visual_final/s05_100_078_line.png	line	Lena: Moja ulica. Za rogiem Sadowa i dom.
res://reports/pkg_0196/visual_final/s08_85_079_line.png	line	Lena: Klatka schodowa. Ciepłe światło, zapach herbaty zza drzwi.
res://reports/pkg_0196/visual_final/s08_85_080_line.png	line	LENA: Drzwi numer 12. Mosiężna tabliczka 'Kowalczyk'. Mój klucz nawet nie pasuje do profilu tego zamka.
res://reports/pkg_0196/visual_final/s08_85_081_line.png	line	LENA: Dobry wieczór. Kto mieszka pod dwunastką?
