generator	source	arguments	player_or_bus	category	peak	dc_offset	loop_seam	alternative_channel	status
create_anchor_sound	scripts/audio/procedural_audio.gd:66		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_unanchor_sound	scripts/audio/procedural_audio.gd:88		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_correction_pulse_sound	scripts/audio/procedural_audio.gd:101		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_resist_sound	scripts/audio/procedural_audio.gd:124		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_goal_sound	scripts/audio/procedural_audio.gd:147		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_footstep_linoleum_sound	scripts/audio/procedural_audio.gd:158		mapped by source-reference scan; Master bus	foley	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_footstep_metal_sound	scripts/audio/procedural_audio.gd:171		mapped by source-reference scan; Master bus	foley	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_land_sound	scripts/audio/procedural_audio.gd:184	is_metal: bool = false	mapped by source-reference scan; Master bus	foley	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_airlock_seal_sound	scripts/audio/procedural_audio.gd:199		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_memory_resonance_sound	scripts/audio/procedural_audio.gd:230		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
