id	priority	area	evidence_class	reproduction	root_cause	origin	fix	retest	status
F-0184-001	P2	shell locale	RUNTIME	TitlePanel/ReturnPromise stayed "LINIA 4  //  OSTATNI ODCZYT  //  POWRÓT" after set_locale(en)	_refresh_localized_ui never wrote ReturnPromise	pre-0184 / PKG-0115 shell	TITLE_RETURN_PROMISE key; refresh in title_screen.gd	pkg_0184_smoke_red.log then green; shell_title__en.png	FIXED
F-0184-002	P2	cold open locale	STATIC+RUNTIME	SKIP_HINT := "POMIŃ ▸" with no EN path	Hardcoded constant	PKG-0176	COLD_OPEN_SKIP in LocalizationManager; cold_open.gd uses tr_key	pkg_0184 smoke GREEN	FIXED
F-0184-003	P2	opening copy	STATIC	station_13 opening "Ten był ze mną w terenie" vs drawer documents; 10–12 leftover P7 beats	Content not rewritten in PHASE-10	F-0183-011	Openings aligned to live scenes (Marta/key; traces; balcony/answering machine; two documents)	pkg_0184 smoke opening_line asserts	FIXED
F-0184-004	P2	verifier evidence	BASELINE-LOG	0179 printed PASS with no numbered steps even after await	Tests had no print()	F-0183-002 residual	print 1..6 in pkg_0179_smoke_test.gd	reports/pkg_0184/pkg_0179_retest.log	FIXED
F-0184-005	P2	test integrity	STATIC	0183 asserted crisp.get_child_count() >= 0 (tautology)	Placeholder assert	PKG-0183	Await layer 10 > compositor 5	pkg_0183 + pkg_0184 smoke	FIXED
F-0184-006	P3	0183 inventory	STATIC	0183 inventory omitted its own report, smoke test and capture/performance scripts	Inventory taken before those files existed and never regenerated	PKG-0183	0184 inventory lists them; do not treat 0183 coverage as complete	inventory_diff.tsv	OPEN-DOCUMENTED
F-0184-007	P3	0183 chronology	STATIC	PKG_0183 report LastWrite 21:23Z; final.log 21:50Z	Report written before final verify	PKG-0183	0184 report is patched after final.log	chronology.tsv	OPEN-DOCUMENTED
F-0184-008	P3	orphaned tests	RUNTIME	pkg_0091/0094 not in verify.ps1; independent run FAIL (VectorStageEnvironment missing on 05–08)	P9 rebuilt those stations; tests not migrated	legacy PKG-0091/0094	Leave NOT_INVOKED; do not cite as PASS	pkg_0091_independent.log; pkg_0094_independent.log	OPEN-BACKLOG
F-0184-009	P3	audio meters	STATIC	~198 create_* still return clampf(raw) before generate_wav tanh	0183 limiter is in generate_wav; generators still pre-clip	F-0183-006 residual	Leave mix unchanged; clip meters weaker for those voices	audio_full_measurements.tsv still 0 clipped	OPEN-BACKLOG
F-0184-010	P3	architecture	STATIC	memory_resonance_point.gd remains donor monolith	F-0182-003 / F-0183-010	historical	No extraction in 0184	OPEN-BACKLOG
F-0184-011	P3	locale donor	STATIC	getting_strange_locales.csv not in project.godot; carries [C/SHIFT] Anchor	Runtime uses LocalizationManager dict	F-0183-012	Smoke asserts CSV stays unregistered	pkg_0184 smoke	OPEN-BACKLOG
F-0184-012	P3	campaign content	STATIC	Stations 10–13 gameplay still mix P7 foreign_daily_life / marta_threshold with P9 overlays	PHASE-10 did not rewrite those scripts	F-0183-011 residual	Openings match live code; full CAMPAIGN_MAP rewrite out of rollback	CAMPAIGN_MAP.md vs station_1x.gd	OPEN-BACKLOG
F-0184-013	BLOCKED	pad ergonomics	NO-HARDWARE	No physical controller	Workstation	F-0183-013	Cannot certify feel	BLOCKED
F-0184-014	INFO	playtest lead 2	RENDER-MEASURED	Panel still of a black frame after NOWA GRA	Likely title-unload dump, not cold_open content	playtest_panel_2026-09-03	cold_open t0/initial mean luma 0.1024 on Windows; not reproduced as a stuck black shot	visual_matrix.tsv	CLOSED-NOT-REPRODUCED
F-0184-015	INFO	playtest lead 5	STATIC+RUNTIME	Brief said Wczytaj/Wyjście; build is NOWA GRA/KONTYNUUJ/USTAWIENIA/ZAKOŃCZ	Stale panel brief vs localization_manager	playtest_panel_2026-09-03	Build matches LocalizationManager; documentation drift was in the panel brief	pkg_0184 smoke shell labels	CLOSED-NOT-A-BUILD-DEFECT
