id	priority	area	evidence_class	reproduction	root_cause	fix	retest	status
F-0183-001	P1	pause UI / campaign copy	STATIC+RUNTIME	PAUSE_STATUS is ODKRYTE: %d/43; PKG-0182 language_ledger TXT-00603/00652 marked PASS	Retired 43-address form left in player-visible pause chrome	PAUSE_STATUS uses %d/%d with CAMPAIGN_SELECTOR_STATIONS.size() (20); tooltips use localized Adres/Address	tests/pkg_0183_smoke_test.gd RED then GREEN	FIXED
F-0183-002	P1	verifier / false PASS	STATIC+BASELINE-LOG	pkg_0179 _run called three coroutines without await; baseline printed SMOKE PASS with no test steps	Same class as F-0182-006, not applied to 0179/0180	await the three tests; await _finish in 0180	pkg_0179_retest2.log; pkg_0180_retest.log; pkg_0183 static scan	FIXED
F-0183-003	P1	ThresholdZone lifecycle	RUNTIME-MEASURED	After 0179 actually ran: SCRIPT ERROR bool() constructor at threshold_zone.gd:160 when parent lacks is_exit_unlocked	bool(Variant) on missing property	Compare == true; same in ThresholdBinder	pkg_0179_retest2.log zero SCRIPT ERROR	FIXED
F-0183-004	P2	inventory completeness	STATIC	PKG-0182 inventory omitted resources/ (22 files: sequences, movement profiles, localization)	rg roots were scripts/scenes/assets/tests/tools/docs/locale	Independent inventory 935 files; 22 resources loaded in pkg_0183 smoke	reports/pkg_0183/inventory_diff.tsv	FIXED
F-0183-005	P2	soak sensitivity	STATIC+TSV	0182 soak recorded object_count delta but cycle_ok ignored it	Logging mistaken for a gate	0183 soak requires after==stable_after and cache 0	tests/pkg_0183_smoke_test.gd	FIXED
F-0183-006	P2	audio clip metric	STATIC	generate_wav clampf before PCM made 0-clipped tautological	Meters ran after clamp	tanh(raw)*0.94 then clamp inside generate_wav; drain on scene change; stop 2D/3D and disconnect finished	tests/pkg_0183_smoke_test.gd PCM sample	FIXED
F-0183-007	P2	log policy	NEGATIVE-MUTATION	SCRIPT WARNING: coroutine lines were not fail-closed	Policy only matched WARNING: prefix	Fail SCRIPT WARNING / USER WARNING; allowlist two extra exact campaign-save fallbacks; self-test updated	tools/test_godot_log_policy.ps1	FIXED
F-0183-008	P2	input / accessibility	STATIC	move_left/right had stick only; volume 0 never muted; landing squash ignored reduced motion; checkpoint XY saved but not restored	Incomplete pad map; mute unused; MotionAccessibility hole; spawn used side not checkpoint	D-pad 13/14; set_bus_mute at volume<=0.001; squash returns on reduced motion; continue/restart restore last_checkpoint_position	project.godot; game_state_manager.gd; prototype_player.gd	FIXED
F-0183-009	P2	physics canon	STATIC+DOCS	project.godot omitted physics_ticks_per_second; Engine default is 60	Key dropped from current project file	Pin common/physics_ticks_per_second=60	project.godot; Engine.physics_ticks_per_second==60 in smoke	FIXED
F-0183-010	P3	architecture	STATIC-INSPECTION	memory_resonance_point.gd remains a donor monolith	Inherited F-0182-003	No extraction in this package	OPEN-BACKLOG
F-0183-011	P3	campaign copy vs CAMPAIGN_MAP	STATIC	Stations 10–13 opening_line still speak leftover P7 beats	Content not rewritten in PHASE-10	Deferred: narrative rewrite is out of safe rollback for a red-team repair package	OPEN-BACKLOG
F-0183-012	P3	localization dual source	STATIC	CSV/.translation not registered in project.godot	Runtime uses LocalizationManager dict only	Left as unused donor; dict is source of truth	OPEN-BACKLOG
F-0183-013	BLOCKED	pad ergonomics	NO-HARDWARE	No physical controller attached	Workstation limit	Cannot certify feel	BLOCKED
