id	source	locale	speaker	address	moment	function	knowledge_chronology	status	text
TXT-00001	scenes\levels\station_01.tscn:63	pl	SYSTEM_OR_UNLABELED	01	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Jeszcze jeden odczyt drgań przy Linii 4. Potem jadę do Marty.
TXT-00002	scenes\levels\station_01.tscn:68	pl	LENA	01	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	DIAGNOSTYKA DRGAŃ // LENA WOLSKA
TXT-00003	scenes\levels\station_01.tscn:75	pl	SYSTEM_OR_UNLABELED	01	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	ODCZYT DRGAŃ // LINIA 4
TXT-00004	scenes\levels\station_02.tscn:61	pl	SYSTEM_OR_UNLABELED	02	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Skrót zamknęli do robót. Nasyp serwisowy prowadzi na przystanek.
TXT-00005	scenes\levels\station_02.tscn:66	und	SYSTEM_OR_UNLABELED	02	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	ROBOTY W TOKU // OBJAZD 12 MIN
TXT-00006	scenes\levels\station_02.tscn:110	und	SYSTEM_OR_UNLABELED	02	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Drabina nasypu serwisowego
TXT-00007	scenes\levels\station_03.tscn:57	pl	MARTA	03	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Przystanek Linii 4. Marta czeka; kurs ma przyjechać za trzy minuty.
TXT-00008	scenes\levels\station_03.tscn:62	und	SYSTEM_OR_UNLABELED	03	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	LINIA 4 // 20:47 // ZA 3 MIN
TXT-00009	scenes\levels\station_04.tscn:54	pl	MARTA	04	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Wagon jedzie. Marta nadal czeka, a czytnik nie chce puścić Linii 4.
TXT-00010	scenes\levels\station_04.tscn:59	und	MARTA	04	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	MARTA // CZEKA W DOMU
TXT-00011	scenes\levels\station_05.tscn:54	und	SYSTEM_OR_UNLABELED	05	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Moja ulica. Za rogiem Sadowa i dom.
TXT-00012	scenes\levels\station_05.tscn:59	und	SYSTEM_OR_UNLABELED	05	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	UL. WIEJSKA // KIERUNEK SADOWA
TXT-00013	scenes\levels\station_05.tscn:66	pl	SYSTEM_OR_UNLABELED	05	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	PRZEJŚCIE DLA PIESZYCH // SYGNALIZACJA SPRAWNA
TXT-00014	scenes\levels\station_06.tscn:54	pl	SYSTEM_OR_UNLABELED	06	source-defined	visible-or-localized-string-candidate	pre-mechanic-reveal	PASS	Kiosk i rozkład. Kupię wodę i sprawdzę godziny.
